id,Predicted
114982,340075.0748
95653,499140.8988
40303,343294.8829
109506,275856.2404
100149,438676.3552
7610,323435.4853
61101,267422.4369
68167,496238.6569
65701,400825.8443
56039,254434.8815
81919,440901.4433
99768,428031.325
124053,692602.4734
3942,384059.4969
118904,535431.2102
30060,337349.7522
185729,577837.3907
46357,755459.8855
20662,367602.1598
102274,471130.6813
53369,215699.352
9719,403213.5033
20145,273361.7831
159051,571025.7656
31481,283958.8269
142247,406987.1599
29119,305865.6494
151448,449790.365
60594,267422.4369
83400,418974.4636
40168,287034.1789
52407,361174.0029
127232,494178.2234
131188,371905.2963
952,200516.7132
166230,498390.7321
144844,396602.8954
33207,260724.257
28355,766233.2709
179918,673841.4666
162451,619226.6057
19390,278093.3592
114861,440164.8596
132259,369015.6589
180033,665430.5084
97052,476177.1134
94224,454577.2747
32295,502744.5072
171908,692182.3339
80236,553421.3116
156193,470353.9727
54494,368544.9789
174530,641830.946
143835,338253.1368
26275,371528.2059
61627,738768.8367
49813,261691.1673
3466,576321.7018
117691,505630.1706
132738,543972.0274
114211,541483.378
116741,531928.3252
39246,400981.4076
150011,380237.8048
182319,563761.0286
32441,370077.4045
18842,434046.4736
99428,409896.3511
96435,405281.4213
134803,369875.1608
171636,602091.6711
115944,509770.2953
149001,508426.1806
19084,409890.508
178128,609955.5528
74818,349260.4602
49603,226045.5518
86262,748819.121
14520,344940.4291
57209,715144.5659
148575,659577.809
33,166356.886
180401,615415.1063
87114,467828.3642
16450,389221.0203
28848,311430.3614
11519,276642.2215
7202,278548.6912
2843,276606.1731
156073,486261.0191
132217,463952.7256
140349,523621.9376
34614,310007.2698
135594,424267.5523
170933,705298.517
62586,443227.5153
145868,381134.4539
15155,167461.2312
61290,294288.0005
184569,633558.1948
169996,450506.1638
7026,365396.7696
128356,377440.6763
134501,509164.1176
163406,640683.0612
56796,423615.7732
174870,630761.9839
142554,482327.2487
59547,250262.3884
143113,443445.298
154091,482775.0915
61191,570263.0493
135899,436368.0027
172405,563998.6039
184121,603036.7634
1063,398150.693
6348,327895.6496
79995,599885.9352
50573,335801.9358
79894,443879.2943
113553,385829.5099
31931,355319.9487
86645,374411.0785
123780,312837.6658
142940,581303.2752
138987,553707.5649
41502,266624.5647
100104,560896.2723
83570,442717.5509
181648,611892.0774
68406,438981.4777
114567,361522.7119
5470,452019.557
176926,694610.2863
173013,453571.9574
110219,469858.8272
52178,271634.9456
120569,439178.4227
132710,467828.3642
10478,381782.8603
100309,789512.306
76446,370431.9567
140674,512950.2855
122786,530739.835
66214,453035.3147
120240,381169.8751
113802,402124.4289
169747,504770.6687
45819,370077.4045
36170,327895.6496
84049,490051.3112
104675,305343.8012
66165,749271.162
92499,396714.1273
107783,516888.5002
148441,486306.9685
12344,232550.3043
93256,545741.3484
48139,367673.0481
101908,384450.3135
134084,469977.7567
17216,286902.8203
185201,627813.5069
185016,692218.7397
25318,416802.5269
65253,349405.061
57696,235102.2806
30939,329064.2918
128338,381134.4539
104156,469402.107
41455,386135.4102
126390,363480.2789
165803,526712.3866
108253,415590.0065
15221,167979.9623
129322,364840.4525
86142,625239.0208
150957,492096.758
97028,421860.99
3219,355388.7217
172533,483599.1722
147313,490607.8918
168865,478078.3554
138278,510032.9141
82280,317709.3245
4380,367367.4117
4327,578804.339
109861,372780.3248
45273,431795.9909
102888,734957.0645
77664,469858.8272
58355,271114.3335
91308,260386.1188
169692,503335.7333
154931,528900.6787
123897,449467.5807
43550,442869.6026
94084,361545.25
63629,330134.6258
163153,478039.9007
165076,616423.279
55701,290395.5277
19310,354678.1712
18205,419056.8642
59608,591987.1941
60785,489587.4069
51513,326676.2968
145397,501077.8087
101693,369048.3779
164688,489965.7148
82863,377297.2196
1754,323883.3282
5376,378654.0557
130074,486699.9846
102843,695608.7614
29760,337349.7522
130642,405683.8425
31347,420473.1619
24205,293534.5854
165100,478471.936
81514,424849.3168
116369,606906.8911
84639,348848.8011
97982,449790.365
91083,678390.8672
149132,533520.8094
41826,474343.8045
52033,181549.5587
21665,287044.2011
62257,239144.7671
10102,370077.4045
