,Unnamed: 0,id,town,flat_type,storey_range,flat_model,lease_commence_date,resale_price,Tranc_Year,Tranc_Month,floor_area_sqft,hdb_age,commercial,market_hawker,total_dwelling_units,Latitude,Longitude,planning_area,Mall_Nearest_Distance,Mall_Within_500m,Mall_Within_1km,Mall_Within_2km,Hawker_Nearest_Distance,Hawker_Within_500m,Hawker_Within_1km,Hawker_Within_2km,hawker_market_stalls,mrt_nearest_distance,bus_interchange,mrt_interchange,mrt_latitude,mrt_longitude,bus_stop_nearest_distance,bus_stop_latitude,bus_stop_longitude,pri_sch_nearest_distance,pri_sch_name,pri_sch_affiliation,pri_sch_latitude,pri_sch_longitude,sec_sch_nearest_dist,sec_sch_name,cutoff_point,sec_sch_latitude,sec_sch_longitude,low_storey,high_storey,avg_storey,new_storey_range,region,region_CCR,region_East,region_North,region_RCR,region_West,flat_type_1 ROOM,flat_type_2 ROOM,flat_type_3 ROOM,flat_type_5 ROOM,flat_type_EXECUTIVE,flat_type_MULTI-GENERATION,planning_area_Ang Mo Kio,planning_area_Bedok,planning_area_Bishan,planning_area_Bukit Batok,planning_area_Bukit Merah,planning_area_Bukit Panjang,planning_area_Bukit Timah,planning_area_Changi,planning_area_Choa Chu Kang,planning_area_Clementi,planning_area_Downtown Core,planning_area_Geylang,planning_area_Hougang,planning_area_Jurong East,planning_area_Kallang,planning_area_Marine Parade,planning_area_Novena,planning_area_Outram,planning_area_Pasir Ris,planning_area_Punggol,planning_area_Queenstown,planning_area_Rochor,planning_area_Sembawang,planning_area_Sengkang,planning_area_Serangoon,planning_area_Tampines,planning_area_Tanglin,planning_area_Toa Payoh,planning_area_Western Water Catchment,planning_area_Woodlands,planning_area_Yishun,new_storey_range_High (13-18),new_storey_range_Mid (7-12),new_storey_range_Ultra High (31+),new_storey_range_Very High (19-30)
0,0,88471,KALLANG/WHAMPOA,4 ROOM,10 TO 12,Model A,2006,680000,2016,5,968.76,15,N,N,142,1.314298734,103.8728282,Kallang,1094.090418,0,0,7,154.7533573,1,3,13,60,330.083069,0,0,1.311540483,103.8717306,29.42739466,1.314433333,103.8726003,1138.633422,Geylang Methodist School,1,1.317658971,103.8825037,1138.633422,Geylang Methodist School,224,1.317658971,103.8825037,10,12,11,Mid (7-12),RCR,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0
1,1,122598,BISHAN,5 ROOM,07 TO 09,Improved,1987,665000,2012,7,1399.32,34,N,N,112,1.346085959,103.8550783,Bishan,866.9414477,0,1,3,640.1519255,0,1,7,77,903.6597029,1,1,1.350579599,103.848305,58.20776077,1.345658889,103.8553811,415.6073571,Kuo Chuan Presbyterian Primary School,1,1.349783074,103.8545292,447.8943993,Kuo Chuan Presbyterian Secondary School,232,1.350109648,103.8548917,7,9,8,Mid (7-12),RCR,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0
2,2,170897,BUKIT BATOK,EXECUTIVE,13 TO 15,Apartment,1997,838000,2013,7,1550.016,24,N,N,90,1.343866875,103.760535,Bukit Batok,1459.579948,0,0,4,1762.082341,0,0,1,95,1334.251197,1,0,1.34956122,103.7499701,214.7478599,1.344064118,103.7586133,498.8490387,Keming Primary School,0,1.345245053,103.7562645,180.0745578,Yusof Ishak Secondary School,188,1.342333778,103.7600131,13,15,14,High (13-18),West,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0
3,3,86070,BISHAN,4 ROOM,01 TO 05,Model A,1992,550000,2012,4,1108.692,29,Y,N,75,1.358245182,103.8455043,Bishan,950.1751993,0,1,4,726.2152623,0,1,9,86,907.4534839,1,1,1.350579599,103.848305,43.39652075,1.358044737,103.8451693,389.5155278,Catholic High School,1,1.354788877,103.8449341,389.5155278,Catholic High School,253,1.354788877,103.8449341,1,5,3,Low (1-6),RCR,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0
4,4,153632,YISHUN,4 ROOM,01 TO 03,Simplified,1987,298000,2017,12,893.412,34,N,N,48,1.414744781,103.8355316,Yishun,729.7718948,0,1,2,1540.151439,0,0,1,0,412.3430317,0,0,1.417130546,103.8326918,129.4227519,1.415424248,103.8364769,401.2005842,Naval Base Primary School,0,1.416280153,103.8387977,312.0254346,Orchid Park Secondary School,208,1.414888187,103.8383349,1,3,2,Low (1-6),North,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0
5,5,26610,GEYLANG,3 ROOM,07 TO 09,Improved,1975,335000,2013,1,699.66,46,Y,N,193,1.32170329,103.8861957,Geylang,684.0040015,0,3,6,148.4182473,2,5,11,82,678.2912723,0,1,1.325858517,103.8906628,229.680469,1.323621667,103.8869617,594.1285678,Saint Margaret's Primary School,1,1.324469751,103.8816233,608.8381736,Geylang Methodist School,224,1.317658971,103.8825037,7,9,8,Mid (7-12),RCR,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0
6,6,173300,HOUGANG,5 ROOM,07 TO 09,Improved,1987,433000,2018,5,1291.68,34,N,N,64,1.371276006,103.8800587,Hougang,490.2629308,1,1,8,516.9818238,0,1,4,0,1370.648274,0,0,1.35970263,103.8843026,46.56742891,1.370877451,103.8801873,331.6693183,Xinmin Primary School,0,1.371414726,103.8830391,294.8265011,Bowen Secondary School,224,1.370751073,103.877459,7,9,8,Mid (7-12),North-East,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0
7,7,55093,BEDOK,3 ROOM,06 TO 10,New Generation,1980,340000,2012,3,731.952,41,Y,N,132,1.337641561,103.9189062,Bedok,1749.147519,0,0,3,734.2524539,0,2,5,75,291.6263877,0,0,1.335166341,103.918039,71.97291848,1.338071389,103.9193903,365.7908809,Damai Primary School,0,1.335351315,103.9212683,835.0147465,Damai Secondary School,188,1.33754548,103.9264171,6,10,8,Mid (7-12),East,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0
8,8,166738,BISHAN,5 ROOM,10 TO 12,Improved,1989,700000,2020,1,1345.5,32,N,N,92,1.358355538,103.8303978,Bishan,445.7170698,1,1,1,1032.848455,0,0,4,51,1584.098301,0,0,1.347873082,103.8400478,105.1825799,1.359298333,103.8303208,398.3735541,Ai Tong School,0,1.360736365,103.8330757,866.3629579,Peirce Secondary School,208,1.366131676,103.8299104,10,12,11,Mid (7-12),RCR,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0
9,9,103385,SENGKANG,5 ROOM,10 TO 12,Improved,2001,490000,2014,6,1184.04,20,N,N,96,1.390298901,103.8864893,Sengkang,853.383254,0,2,7,1743.704293,0,0,1,0,1054.995148,1,1,1.39243991,103.8957351,89.35091258,1.39044,103.885698,94.34050749,Anchor Green Primary School,0,1.390662478,103.8872561,458.5327805,Nan Chiau High School,243,1.388687442,103.8902862,10,12,11,Mid (7-12),North-East,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0
